Value,Count,Ratio
1,183,0.02378785909268166
2,171,0.022227999480046796
3,174,0.02261796438320551
4,179,0.02326790588847004
5,162,0.02105810477057065
6,174,0.02261796438320551
7,173,0.022487976082152607
8,161,0.020928116469517744
10,173,0.022487976082152607
12,186,0.024177823995840373
9,140,0.018198362147406732
11,172,0.0223579877810997
14,179,0.02326790588847004
13,180,0.02339789418952294
16,172,0.0223579877810997
17,185,0.02404783569478747
15,170,0.02209801117899389
19,167,0.021708046275835176
21,171,0.022227999480046796
18,183,0.02378785909268166
22,146,0.018978291953724163
20,178,0.023137917587417133
26,176,0.02287794098531132
23,153,0.0198882100610945
24,176,0.02287794098531132
35,173,0.022487976082152607
25,155,0.020148186663200313
29,151,0.019628233458988693
27,186,0.024177823995840373
30,165,0.021448069673729364
31,173,0.022487976082152607
28,155,0.020148186663200313
32,158,0.020538151566359027
34,189,0.02456778889899909
33,183,0.02378785909268166
36,170,0.02209801117899389
37,174,0.02261796438320551
38,175,0.022747952684258416
39,175,0.022747952684258416
40,176,0.02287794098531132
41,151,0.019628233458988693
42,164,0.02131808137267646
43,190,0.024697777200051996
44,170,0.02209801117899389
45,176,0.02287794098531132
